topic,month_date,n_articles,topicname,fraction
14,2015-04-01,0,significant digits,0.0
14,2015-05-01,3,significant digits,1.36986301369863
14,2015-06-01,5,significant digits,3.1847133757961785
15,2013-12-01,0,spark/big data,0.0
15,2014-01-01,0,spark/big data,0.0
15,2014-02-01,0,spark/big data,0.0
15,2014-03-01,1,spark/big data,0.8130081300813008
15,2014-04-01,0,spark/big data,0.0
15,2014-05-01,2,spark/big data,2.5974025974025974
15,2014-06-01,2,spark/big data,1.7241379310344827
15,2014-07-01,1,spark/big data,0.8333333333333334
15,2014-08-01,3,spark/big data,2.542372881355932
15,2014-09-01,1,spark/big data,0.8333333333333334
15,2014-10-01,2,spark/big data,1.4492753623188406
15,2014-11-01,1,spark/big data,1.2195121951219512
15,2014-12-01,0,spark/big data,0.0
15,2015-01-01,0,spark/big data,0.0
15,2015-02-01,1,spark/big data,1.5384615384615385
15,2015-03-01,2,spark/big data,3.125
15,2015-04-01,3,spark/big data,2.158273381294964
15,2015-05-01,4,spark/big data,1.82648401826484
15,2015-06-01,12,spark/big data,7.643312101910828
